"Fixed (wired) broadband penetration by speed tiers, June 2014",,,,,,
,>256 kbps,>1.5/2 Mbits,>10 Mbits,>25/30Mbits,>100 Mbits,
Switzerland,6.2,14.3,0.0,21.2,5.6,
Netherlands,0.8,11.8,11.0,13.5,3.7,
Denmark,1.4,5.8,23.3,9.4,0.7,
France,1.5,2.7,31.0,1.1,1.9,
Korea,0.0,0.0,0.0,3.8,34.1,
Norway,0.0,6.4,23.5,7.6,0.0,
United Kingdom,0.0,6.2,21.0,8.7,0.4,
Iceland,0.0,1.1,14.6,19.9,0.0,
Germany,0.0,1.9,13.9,14.0,5.6,
Luxembourg,0.0,17.9,7.8,8.7,0.5,
Belgium,0.3,5.2,6.2,18.7,4.2,
Canada,1.0,13.8,19.0,0.0,0.0,
Sweden,1.3,7.3,10.0,11.7,3.0,
Finland,1.3,9.4,13.8,1.9,5.0,
New Zealand,0.6,2.5,25.9,0.9,1.2,
United States,5.1,13.9,8.1,3.2,0.0,
Japan,,8.5,,,19.7,
Spain,0.5,4.3,18.1,2.4,1.6,
Australia,0.8,11.0,11.0,4.0,0.0,
Austria,0.2,14.7,8.1,3.3,0.5,
Slovenia,2.6,11.7,10.1,0.5,1.0,
Estonia,5.4,7.7,8.5,3.1,1.0,
Israel,0.0,4.3,17.8,2.5,0.8,
Ireland,0.0,2.9,13.6,8.9,0.0,
Portugal,0.0,3.7,10.9,5.7,4.7,
Hungary,0.0,2.3,8.2,13.3,0.0,
Italy,0.0,2.2,16.5,3.7,0.1,
Czech Republic,0.0,8.1,6.4,2.0,1.2,
Slovak Republic,0.8,8.1,3.2,3.1,1.0,
Chile,3.7,6.8,3.1,,,
Turkey,0.9,0.1,7.7,2.7,0.1,
Greece,,,,,,
Mexico,,,,,,
Poland,,,,,,
OECD,1.1,7.0,12.4,6.9,3.2,
,,,,,,
